Sample	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	cutadapt-percent_trimmed	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
gse144140_sri37240_rep1_riboseq_1								91.14439798511914	68.0	29.822722857557764	28	50.0	93.487608
gse144140_sri37240_rep2_riboseq	22.322319	18.178217999999998	81.43	11.465615999999999	51.36	6.7126019999999995							
gse144140_sri37240_rep2_riboseq_1								91.91521359359655	67.0	28.894658670458988	26	50.0	89.180942
gse144140_sri37240_rep3_riboseq	25.801114	22.644786	87.77	14.053828999999999	54.47	8.590957							
gse144140_sri37240_rep3_riboseq_1								90.38243393419275	67.0	29.135464431044177	28	50.0	84.945409
hek293t_g418_rep1_riboseq	11.994938	11.553816999999999	96.33	7.941469	66.21	3.612348							
hek293t_g418_rep1_riboseq_1								75.03096979683825	65.0	32.0130740622448	30	36.36363636363637	29.506207999999997
hek293t_g418_rep2_riboseq	10.264349	9.630765	93.83	6.939729	67.61	2.691036							
hek293t_g418_rep2_riboseq_1								84.23502802572118	62.0	32.297970572253305	31	36.36363636363637	25.278456
hek293t_g418_rep3_riboseq	7.92693	7.1287899999999995	89.94	4.492667	56.68	2.636123							
hek293t_g418_rep3_riboseq_1								80.53688942036776	69.0	29.60847635682253	29	36.36363636363637	30.196322
hek293t_untreated_rep1_riboseq	13.940582	12.574774	90.2	8.417944	60.38	4.15683							
hek293t_untreated_rep1_riboseq_1								78.78139830233313	66.0	32.28217778408204	32	36.36363636363637	36.842825999999995
hek293t_untreated_rep2_riboseq	8.296035	7.670345999999999	92.46000000000001	5.516757	66.5	2.1535889999999998							
hek293t_untreated_rep2_riboseq_1								86.18406538335137	62.0	31.670090371009163	31	36.36363636363637	22.941428
hek293t_untreated_rep3_riboseq	5.524623999999999	4.943212	89.48	2.944937	53.31	1.9982749999999998							
hek293t_untreated_rep3_riboseq_1								83.11420093941058	70.0	30.011666063658303	29	36.36363636363637	27.348985
